sourceTaxonFamilyName,sourceTaxonName
Andrenidae,Andrena angustior
Andrenidae,Andrena barbilabris
Andrenidae,Andrena bimaculata
Andrenidae,Andrena carantonica
Andrenidae,Andrena chrysosceles
Andrenidae,Andrena cineraria
Andrenidae,Andrena clarkella
Andrenidae,Andrena dorsata
Andrenidae,Andrena flavipes
Andrenidae,Andrena fucata
Andrenidae,Andrena fulva
Andrenidae,Andrena gravida
Andrenidae,Andrena haemorrhoa
Andrenidae,Andrena helvola
Andrenidae,Andrena labiata
Andrenidae,Andrena marginata
Andrenidae,Andrena minutula
Andrenidae,Andrena mitis
Andrenidae,Andrena nigroaenea
Andrenidae,Andrena nitida
Andrenidae,Andrena praecox
Andrenidae,Andrena sp.
Andrenidae,Andrena subopaca
Andrenidae,Andrena synadelpha
Andrenidae,Andrena tibialis
Andrenidae,Andrena vaga
Andrenidae,Andrena varians
Apidae,Anthophora plumipes
Apidae,Apis mellifera
Apidae,Bombus
Apidae,Bombus hortorum
Apidae,Bombus hypnorum
Apidae,Bombus jonellus
Apidae,Bombus lapidarius
Apidae,Bombus pascuorum
Apidae,Bombus pratorum
Apidae,Bombus sp.
Apidae,Bombus terrestris
Apidae,Bombus vestalis
Apidae,Nomada fabriciana
Apidae,Nomada flava
Apidae,Nomada marshamella
Apidae,Nomada ruficornis
Cerambycidae,Grammoptera ruficornis
Cerambycidae,Stenurella melanura
Crambidae,Pyrausta aurata
Crambidae,Pyrausta despicata
Curculionidae,Sciaphobus
Erebidae,Tyria jacobaeae
Geometridae,Campaea margaritaria
Halictidae,Halictus sp.
Halictidae,Halictus tumulorum
Halictidae,Lasioglossum
Halictidae,Lasioglossum albipes
Halictidae,Lasioglossum calceatum
Halictidae,Lasioglossum leucopus
Halictidae,Lasioglossum malachurum
Halictidae,Lasioglossum morio
Halictidae,Lasioglossum sexnotatum
Halictidae,Lasioglossum sexstrigatum
Halictidae,Lasioglossum spec
Hesperiidae,Ochlodes sylvanus
Lycaenidae,Lycaena phlaeas
Megachilidae,Megachile ericetorum
Megachilidae,Megachile willughbiella
Megachilidae,Osmia bicornis
Melittidae,Dasypoda hirtipes
Noctuidae,Autographa pseudogamma
Noctuidae,Xanthia togata
Nymphalidae,Aphantopus hyperantus
Nymphalidae,Coenonympha pamphilus
Nymphalidae,Issoria lathonia
Nymphalidae,Maniola jurtina
Nymphalidae,Pararge aegeria
Nymphalidae,Polygonia c-album
Nymphalidae,Vanessa atalanta
Nymphalidae,Vanessa atalanta atalanta
Nymphalidae,Vanessa cardui
Pieridae,Anthocharis cardamines
Pieridae,Colias croceus
Pieridae,Pieris mannii
Pieridae,Pieris napi
Pieridae,Pieris rapae
Sphecidae,Sceliphron caementarium
Sphingidae,Macroglossum stellatarum
Sphingidae,Sphinx ligustri
Syrphidae,Cheilosia bergenstammi
Syrphidae,Cheilosia morio
Syrphidae,Cheilosia pagana
Syrphidae,Cheilosia vernalis
Syrphidae,Chrysotoxum cautum
Syrphidae,Dasysyrphus albostriatus
Syrphidae,Epistrophe eligans
Syrphidae,Epistrophe nitidicollis
Syrphidae,Episyrphus balteatus
Syrphidae,Eristalinus sepulchralis
Syrphidae,Eristalis
Syrphidae,Eristalis arbustorum
Syrphidae,Eristalis intricaria
Syrphidae,Eristalis nemorum
Syrphidae,Eristalis pertinax
Syrphidae,Eristalis pratorum
Syrphidae,Eristalis tenax
Syrphidae,Eupeodes corollae
Syrphidae,Eupeodes luniger
Syrphidae,Eupeodes nitens
Syrphidae,Helophilus pendulus
Syrphidae,Helophilus trivittatus
Syrphidae,Lapposyrphus lapponicus
Syrphidae,Melanostoma mellinum
Syrphidae,Melanostoma scalare
Syrphidae,Meligramma guttata
Syrphidae,Merodon equestris
Syrphidae,Myathropa florea
Syrphidae,Neocnemodon vitripennis
Syrphidae,Palpada agrorum
Syrphidae,Parasyrphus nigritarsis
Syrphidae,Pipiza noctiluca
Syrphidae,Pipizella viduata
Syrphidae,Platycheirus albimanus
Syrphidae,Platycheirus ambiguum
Syrphidae,Platycheirus angustatus
Syrphidae,Platycheirus clypeatus
Syrphidae,Platycheirus peltatus
Syrphidae,Platycheirus scutatus
Syrphidae,Platycheirus splendidus
Syrphidae,Rhingia campestris
Syrphidae,Scaeva selenitica
Syrphidae,Sphaerophoria
Syrphidae,Sphaerophoria scripta
Syrphidae,Syritta pipiens
Syrphidae,Syrphidae
Syrphidae,Syrphus ribesii
Syrphidae,Syrphus spec
Syrphidae,Syrphus torvus
Syrphidae,Syrphus vitripennis
Syrphidae,Tropidia scita
Syrphidae,Volucella bombylans
Syrphidae,Volucella zonaria
Syrphidae,Xylota segnis
Tephritidae,Myoleja lucida
