pollinatorFamily,pollinatorName,plantFamily,plantName
Acartophthalmidae,Acartophthalmidae,Ranunculaceae,Trollius europaeus
Acrididae,Acrididae,Asteraceae,Achillea millefolium
Acrididae,Acrididae,Fabaceae,Trifolium medium
Acrididae,Acrididae,Hypericaceae,Hypericum perforatum
Acrididae,Aiolopus strepens,Asteraceae,Dittrichia viscosa
Acrididae,Anacridium aegyptium,Lauraceae,Persea americana
Acrididae,Anacridium aegyptium,Poaceae,Cortaderia selloana
Acrididae,Anacridium aegyptium,Rosaceae,Rubus
Acrididae,Anacridium aegyptium,Strelitziaceae,Strelitzia reginae
Acrididae,Dociostaurus jagoi,Acrididae,Dociostaurus jagoi
Acrididae,Dociostaurus jagoi,Asparagaceae,Asparagus albus
Acrididae,Dociostaurus jagoi,Asteraceae,Pallenis maritima
Acrididae,Dociostaurus jagoi,Caryophyllaceae,Paronychia capitata subsp. capitata
Acrididae,Dociostaurus maroccanus,Asteraceae,Hyoseris radiata
Acrididae,Oedipoda caerulescens,Asteraceae,Erigeron sumatrensis
Acrididae,Pezotettix giornae,Acrididae,Pezotettix giornae
Acrididae,Pezotettix giornae,Araliaceae,Hedera helix
Acrididae,Pezotettix giornae,Asteraceae,Andryala integrifolia
Acrididae,Pezotettix giornae,Asteraceae,Pallenis maritima
Acrididae,Pezotettix giornae,Asteraceae,Sonchus
Acrididae,Pezotettix giornae,Compositae,Cichorieae
Acrididae,Pseudochorthippus parallelus,Crassulaceae,Hylotelephium spectabile
Acroceridae,Acroceridae,Asteraceae,Taraxacum
Acroceridae,Cyrtus gibbus,Acroceridae,Cyrtus gibbus
Acroceridae,Cyrtus gibbus,Caprifoliaceae,Sixalix atropurpurea
Adelidae,Adela australis,Amaryllidaceae,Allium
Adelidae,Adela australis,Amaryllidaceae,Allium roseum
Adelidae,Adela australis,Apiaceae,Apiaceae
Adelidae,Adela australis,Apiaceae,Torilis nodosa
Adelidae,Adela australis,Asparagaceae,Ornithogalum umbellatum
Adelidae,Adela australis,Asteraceae,Crepis
Adelidae,Adela australis,Boraginaceae,Borago officinalis
Adelidae,Adela australis,Euphorbiaceae,Euphorbia serrata
Adelidae,Adela collicolella,Adelidae,Adela collicolella
Adelidae,Adela collicolella,Cistaceae,Cistus
Adelidae,Adela collicolella,Cistaceae,Cistus monspeliensis
Adelidae,Adela croesella,Adelidae,Adela croesella
Adelidae,Adela croesella,Apiaceae,Chaerophyllum
Adelidae,Adela croesella,Asteraceae,Glebionis
Adelidae,Adela croesella,Asteraceae,Glebionis coronaria
Adelidae,Adela croesella,Asteraceae,Leucanthemum vulgare
Adelidae,Adela cuprella,Salicaceae,Salix
Adelidae,Adela cuprella,Salicaceae,Salix repens
Adelidae,Adela orientella,Asteraceae,Helichrysum stoechas
Adelidae,Adela violella,Asteraceae,Erigeron annuus
Adelidae,Adela violella,Asteraceae,Hypochaeris radicata
Adelidae,Adela violella,Asteraceae,Leucanthemum vulgare
Adelidae,Adela violella,Brassicaceae,Barbarea vulgaris
Adelidae,Adela violella,Compositae,Anthemideae
Adelidae,Adela violella,Hypericaceae,Hypericum
Adelidae,Adela violella,Viburnaceae,Sambucus ebulus
Adelidae,Adela viridella,Apiaceae,Anthriscus sylvestris
Adelidae,Adela viridella,Brassicaceae,Alliaria petiolata
Adelidae,Adela viridella,Brassicaceae,Cardamine pratensis
Adelidae,Adela viridella,Euphorbiaceae,Euphorbia
Adelidae,Adela viridella,Euphorbiaceae,Euphorbia cyparissias
Adelidae,Adela viridella,Fabaceae,Cytisus scoparius
Adelidae,Adela viridella,Salicaceae,Salix repens
Adelidae,Adelidae,Lamiaceae,Lavandula stoechas
Adelidae,Cauchas fibulella,Plantaginaceae,Veronica chamaedrys
