pollinatorFamily,pollinatorName,plantFamily,plantName
Andrenidae,Andrena haemorrhoa,Adoxaceae,Viburnum tinus
Andrenidae,Andrena carantonica,Asteraceae,Taraxacum
Andrenidae,Andrena haemorrhoa,Asteraceae,Taraxacum
Andrenidae,Andrena lapponica,Asteraceae,Taraxacum
Andrenidae,Andrena,Brassicaceae,Brassica napus
Andrenidae,Andrena cineraria,Fabaceae,Trifolium repens
Andrenidae,Andrena wilkella,Fabaceae,Trifolium pratense
Andrenidae,Andrena cineraria,Plantaginaceae,Veronica chamaedrys
Andrenidae,Andrena,Rosaceae,Malus domestica
Andrenidae,Andrena cineraria,Rosaceae,Malus domestica
Andrenidae,Andrena haemorrhoa,Rosaceae,Cotoneaster hybr
Andrenidae,Andrena haemorrhoa,Rosaceae,Crataegus monogyna
Andrenidae,Andrena haemorrhoa,Rosaceae,Malus domestica
Andrenidae,Andrena haemorrhoa,Rosaceae,Pyracantha
Andrenidae,Andrena lapponica,Rosaceae,Malus domestica
Andrenidae,Andrena fucata,Scrophulariaceae,Scrophularia nodosa
Apidae,Apis mellifera,Adoxaceae,Sambucus nigra
Apidae,Bombus pascuorum,Amaryllidaceae,Allium schoenoprasum
Apidae,Bombus pascuorum,Amaryllidaceae,Allium triquetrum
Apidae,Bombus terrestris,Amaryllidaceae,Agapanthus
Apidae,Apis mellifera,Apiaceae,Aegopodium podagraria
Apidae,Apis mellifera,Apiaceae,Anethum ridolfia
Apidae,Apis mellifera,Apiaceae,Astrantia major
Apidae,Apis mellifera,Apiaceae,Heracleum sphondylium
Apidae,Bombus lucorum,Apiaceae,Angelica sylvestris
Apidae,Bombus lucorum,Apiaceae,Daucus carota
Apidae,Bombus lucorum,Apiaceae,Heracleum sphondylium
Apidae,Bombus pascuorum,Apiaceae,Aegopodium podagraria
Apidae,Bombus pratorum,Apiaceae,Heracleum sphondylium
Apidae,Bombus terrestris audax,Apidae,Bombus terrestris audax
Apidae,Bombus lapidarius,Asparagaceae,Hyacinthoides non-scripta
Apidae,Bombus pascuorum,Asparagaceae,Hyacinthoides non-scripta
Apidae,Apis mellifera,Asteraceae,Arctium minus
Apidae,Apis mellifera,Asteraceae,Centaurea nigra
Apidae,Apis mellifera,Asteraceae,Cirsium arvense
Apidae,Apis mellifera,Asteraceae,Cirsium vulgare
Apidae,Apis mellifera,Asteraceae,Echinops bannaticus
Apidae,Apis mellifera,Asteraceae,Hypochaeris radicata
Apidae,Apis mellifera,Asteraceae,Jacobaea vulgaris
Apidae,Apis mellifera,Asteraceae,Leontodon crispus
Apidae,Apis mellifera,Asteraceae,Leucanthemum vulgare
Apidae,Apis mellifera,Asteraceae,Rudbeckia hirta
Apidae,Apis mellifera,Asteraceae,Scorzoneroides autumnalis
Apidae,Apis mellifera,Asteraceae,Sonchus arvensis
Apidae,Apis mellifera,Asteraceae,Tagetes erecta
Apidae,Apis mellifera,Asteraceae,Tanacetum vulgare
Apidae,Apis mellifera,Asteraceae,Taraxacum
Apidae,Apis mellifera,Asteraceae,Tripleurospermum maritimum
Apidae,Bombus hortorum,Asteraceae,Centaurea nigra
Apidae,Bombus hortorum,Asteraceae,Cirsium arvense
Apidae,Bombus hortorum,Asteraceae,Cirsium vulgare
Apidae,Bombus hortorum,Asteraceae,Jacobaea vulgaris
Apidae,Bombus hortorum,Asteraceae,Lapsana communis
Apidae,Bombus hortorum,Asteraceae,Leontodon hispidus subsp. bourgaeanus
Apidae,Bombus jonellus,Asteraceae,Centaurea nigra
Apidae,Bombus jonellus,Asteraceae,Cirsium vulgare
Apidae,Bombus lapidarius,Asteraceae,Centaurea nigra
Apidae,Bombus lapidarius,Asteraceae,Cirsium arvense
Apidae,Bombus lapidarius,Asteraceae,Cirsium vulgare
Apidae,Bombus lapidarius,Asteraceae,Echinops bannaticus
Apidae,Bombus lapidarius,Asteraceae,Jacobaea vulgaris
Apidae,Bombus lapidarius,Asteraceae,Lapsana communis
Apidae,Bombus lapidarius,Asteraceae,Leontodon crispus
Apidae,Bombus lapidarius,Asteraceae,Leontodon hispidus subsp. bourgaeanus
Apidae,Bombus lapidarius,Asteraceae,Scorzoneroides autumnalis
Apidae,Bombus lapidarius,Asteraceae,Sonchus arvensis
Apidae,Bombus lapidarius,Asteraceae,Sonchus asper
Apidae,Bombus lapidarius,Asteraceae,Tanacetum vulgare
Apidae,Bombus lucorum,Asteraceae,Centaurea nigra
Apidae,Bombus lucorum,Asteraceae,Cirsium arvense
Apidae,Bombus lucorum,Asteraceae,Cirsium vulgare
Apidae,Bombus lucorum,Asteraceae,Crepis biennis
Apidae,Bombus lucorum,Asteraceae,Jacobaea vulgaris
Apidae,Bombus lucorum,Asteraceae,Lapsana communis
Apidae,Bombus lucorum,Asteraceae,Leontodon crispus
Apidae,Bombus lucorum,Asteraceae,Leontodon hispidus subsp. bourgaeanus
Apidae,Bombus lucorum,Asteraceae,Scorzoneroides autumnalis
Apidae,Bombus lucorum,Asteraceae,Sonchus asper
Apidae,Bombus lucorum,Asteraceae,Tagetes erecta
Apidae,Bombus lucorum,Asteraceae,Taraxacum
Apidae,Bombus muscorum,Asteraceae,Centaurea nigra
Apidae,Bombus muscorum,Asteraceae,Cirsium vulgare
Apidae,Bombus muscorum,Asteraceae,Jacobaea vulgaris
Apidae,Bombus muscorum,Asteraceae,Tagetes erecta
Apidae,Bombus pascuorum,Asteraceae,Arctium minus
Apidae,Bombus pascuorum,Asteraceae,Centaurea nigra
Apidae,Bombus pascuorum,Asteraceae,Cirsium arvense
Apidae,Bombus pascuorum,Asteraceae,Cirsium palustre
Apidae,Bombus pascuorum,Asteraceae,Cirsium vulgare
Apidae,Bombus pascuorum,Asteraceae,Jacobaea vulgaris
Apidae,Bombus pascuorum,Asteraceae,Lapsana communis
Apidae,Bombus pascuorum,Asteraceae,Leontodon crispus
Apidae,Bombus pascuorum,Asteraceae,Scorzoneroides autumnalis
Apidae,Bombus pratorum,Asteraceae,Brachyglottis greyi
Apidae,Bombus pratorum,Asteraceae,Centaurea cyanus
Apidae,Bombus pratorum,Asteraceae,Centaurea nigra
Apidae,Bombus pratorum,Asteraceae,Cirsium arvense
Apidae,Bombus pratorum,Asteraceae,Cirsium vulgare
Apidae,Bombus pratorum,Asteraceae,Lapsana communis
Apidae,Bombus pratorum,Asteraceae,Sonchus arvensis
Apidae,Bombus rupestris,Asteraceae,Centaurea scabiosa
Apidae,Bombus sylvarum,Asteraceae,Centaurea nigra
Apidae,Bombus terrestris,Asteraceae,Cirsium arvense
Apidae,Bombus terrestris,Asteraceae,Leontodon hispidus subsp. bourgaeanus
Apidae,Bombus terrestris,Asteraceae,Tagetes erecta
Apidae,Bombus terrestris,Asteraceae,Taraxacum
Apidae,Bombus terrestris audax,Asteraceae,Echinops bannaticus
Apidae,Bombus lapidarius,Begoniaceae,Begonia urticae
Apidae,Bombus bohemicus,Berberidaceae,Berberis vulgaris
Apidae,Bombus hortorum,Berberidaceae,Berberis vulgaris
Apidae,Bombus lucorum,Berberidaceae,Berberis
Apidae,Bombus muscorum,Berberidaceae,Berberis vulgaris
Apidae,Bombus pascuorum,Berberidaceae,Berberis vulgaris
Apidae,Bombus pratorum,Berberidaceae,Berberis vulgaris
Apidae,Bombus terrestris,Berberidaceae,Berberis darwinii
Apidae,Bombus lapidarius,Boraginaceae,Phacelia
Apidae,Bombus pascuorum,Boraginaceae,"Symphytum × uplandicum"
Apidae,Apis mellifera,Brassicaceae,Brassica napus
Apidae,Apis mellifera,Brassicaceae,Moricandia arvensis
