pollinatorFamily,pollinatorName,plantFamily,plantName
Andrenidae,Andrena angustior,Brassicaceae,Brassica napus
Andrenidae,Andrena barbilabris,Brassicaceae,Brassica napus
Andrenidae,Andrena carantonica,Brassicaceae,Brassica napus
Andrenidae,Andrena chrysosceles,Brassicaceae,Brassica napus
Andrenidae,Andrena cineraria,Brassicaceae,Brassica napus
Andrenidae,Andrena dorsata,Brassicaceae,Brassica napus
Andrenidae,Andrena flavipes,Brassicaceae,Brassica napus
Andrenidae,Andrena fucata,Brassicaceae,Brassica napus
Andrenidae,Andrena haemorrhoa,Brassicaceae,Brassica napus
Andrenidae,Andrena labiata,Brassicaceae,Brassica napus
Andrenidae,Andrena marginata,Brassicaceae,Brassica napus
Andrenidae,Andrena nigroaenea,Brassicaceae,Brassica napus
Andrenidae,Andrena nitida,Brassicaceae,Brassica napus
Andrenidae,Andrena subopaca,Brassicaceae,Brassica napus
Andrenidae,Andrena tibialis,Brassicaceae,Brassica napus
Andrenidae,Andrena carantonica,Ericaceae,Vaccinium corymbosum
Andrenidae,Andrena cineraria,Ericaceae,Vaccinium corymbosum
Andrenidae,Andrena fulva,Ericaceae,Vaccinium corymbosum
Andrenidae,Andrena haemorrhoa,Ericaceae,Vaccinium corymbosum
Andrenidae,Andrena mitis,Ericaceae,Vaccinium corymbosum
Andrenidae,Andrena nigroaenea,Ericaceae,Vaccinium corymbosum
Andrenidae,Andrena nitida,Ericaceae,Vaccinium corymbosum
Andrenidae,Andrena sp.,Ericaceae,Vaccinium corymbosum
Andrenidae,Andrena synadelpha,Ericaceae,Vaccinium corymbosum
Andrenidae,Andrena vaga,Ericaceae,Vaccinium corymbosum
Andrenidae,Andrena bimaculata,Rosaceae,Malus domestica
Andrenidae,Andrena carantonica,Rosaceae,Malus domestica
Andrenidae,Andrena carantonica,Rosaceae,Pyrus communis
Andrenidae,Andrena chrysosceles,Rosaceae,Malus domestica
Andrenidae,Andrena chrysosceles,Rosaceae,Pyrus communis
Andrenidae,Andrena cineraria,Rosaceae,Malus domestica
Andrenidae,Andrena clarkella,Rosaceae,Malus domestica
Andrenidae,Andrena dorsata,Rosaceae,Malus domestica
Andrenidae,Andrena dorsata,Rosaceae,Pyrus communis
Andrenidae,Andrena flavipes,Rosaceae,Malus domestica
Andrenidae,Andrena flavipes,Rosaceae,Pyrus communis
Andrenidae,Andrena fulva,Rosaceae,Malus domestica
Andrenidae,Andrena gravida,Rosaceae,Pyrus communis
Andrenidae,Andrena haemorrhoa,Rosaceae,Malus domestica
Andrenidae,Andrena haemorrhoa,Rosaceae,Pyrus communis
Andrenidae,Andrena helvola,Rosaceae,Malus domestica
Andrenidae,Andrena marginata,Rosaceae,Malus domestica
Andrenidae,Andrena marginata,Rosaceae,Pyrus communis
Andrenidae,Andrena minutula,Rosaceae,Malus domestica
Andrenidae,Andrena nitida,Rosaceae,Malus domestica
Andrenidae,Andrena nitida,Rosaceae,Pyrus communis
Andrenidae,Andrena praecox,Rosaceae,Pyrus communis
Andrenidae,Andrena sp.,Rosaceae,Malus domestica
Andrenidae,Andrena sp.,Rosaceae,Pyrus communis
Andrenidae,Andrena tibialis,Rosaceae,Pyrus communis
Andrenidae,Andrena varians,Rosaceae,Malus domestica
Apidae,Bombus hypnorum,Amaryllidaceae,Allium
Apidae,Bombus pascuorum,Apidae,Bombus pascuorum
Apidae,Apis mellifera,Asteraceae,Taraxacum
Apidae,Bombus,Asteraceae,Taraxacum officinale
Apidae,Apis mellifera,Brassicaceae,Brassica napus
Apidae,Bombus lapidarius,Brassicaceae,Brassica napus
Apidae,Bombus pascuorum,Brassicaceae,Brassica napus
Apidae,Bombus pratorum,Brassicaceae,Brassica napus
Apidae,Bombus sp.,Brassicaceae,Brassica napus
Apidae,Apis mellifera,Ericaceae,Vaccinium corymbosum
Apidae,Bombus hortorum,Ericaceae,Vaccinium corymbosum
Apidae,Bombus hypnorum,Ericaceae,Vaccinium corymbosum
Apidae,Bombus lapidarius,Ericaceae,Vaccinium corymbosum
Apidae,Bombus pascuorum,Ericaceae,Vaccinium corymbosum
Apidae,Bombus pratorum,Ericaceae,Vaccinium corymbosum
Apidae,Bombus terrestris,Ericaceae,Vaccinium corymbosum
Apidae,Bombus vestalis,Ericaceae,Vaccinium corymbosum
Apidae,Bombus pascuorum,Fabaceae,Lathyrus tuberosus
Apidae,Bombus pascuorum,Fabaceae,Trifolium incarnatum
Apidae,Bombus pascuorum,Fabaceae,Trifolium repens
Apidae,Anthophora plumipes,Rosaceae,Malus domestica
Apidae,Anthophora plumipes,Rosaceae,Pyrus communis
Apidae,Apis mellifera,Rosaceae,Malus domestica
Apidae,Apis mellifera,Rosaceae,Pyrus communis
Apidae,Bombus hypnorum,Rosaceae,Malus domestica
Apidae,Bombus hypnorum,Rosaceae,Pyrus communis
Apidae,Bombus hypnorum,Rosaceae,Rubus phoenicolasius
Apidae,Bombus jonellus,Rosaceae,Malus domestica
Apidae,Bombus jonellus,Rosaceae,Pyrus communis
Apidae,Bombus lapidarius,Rosaceae,Malus domestica
Apidae,Bombus lapidarius,Rosaceae,Pyrus communis
Apidae,Bombus pascuorum,Rosaceae,Malus domestica
Apidae,Bombus pascuorum,Rosaceae,Pyrus communis
Apidae,Bombus pratorum,Rosaceae,Malus domestica
Apidae,Bombus pratorum,Rosaceae,Pyrus communis
Apidae,Bombus pratorum,Rosaceae,Rubus phoenicolasius
Apidae,Bombus sp.,Rosaceae,Pyrus communis
Apidae,Bombus terrestris,Rosaceae,Malus domestica
Apidae,Bombus terrestris,Rosaceae,Pyrus communis
Apidae,Bombus vestalis,Rosaceae,Pyrus communis
Apidae,Nomada fabriciana,Rosaceae,Malus domestica
Apidae,Nomada flava,Rosaceae,Pyrus communis
Apidae,Nomada marshamella,Rosaceae,Malus domestica
Apidae,Nomada marshamella,Rosaceae,Pyrus communis
Apidae,Nomada ruficornis,Rosaceae,Pyrus communis
Cerambycidae,Stenurella melanura,Apiaceae,Apiaceae
Cerambycidae,Grammoptera ruficornis,Oleaceae,Ligustrum
Crambidae,Pyrausta aurata,Lamiaceae,Origanum vulgare
Crambidae,Pyrausta despicata,Plantaginaceae,Plantago lanceolata
Curculionidae,Sciaphobus,Asteraceae,Tanacetum vulgare
Erebidae,Tyria jacobaeae,Hypericaceae,Hypericum perforatum
Geometridae,Campaea margaritaria,Fagaceae,Fagus sylvatica
Halictidae,Lasioglossum sexnotatum,Brassicaceae,Brassica napus
Halictidae,Lasioglossum sexstrigatum,Brassicaceae,Brassica napus
Halictidae,Lasioglossum sexnotatum,Ericaceae,Vaccinium corymbosum
Halictidae,Halictus sp.,Rosaceae,Malus domestica
Halictidae,Halictus tumulorum,Rosaceae,Malus domestica
Halictidae,Lasioglossum,Rosaceae,Pyrus communis
Halictidae,Lasioglossum albipes,Rosaceae,Malus domestica
Halictidae,Lasioglossum calceatum,Rosaceae,Malus domestica
Halictidae,Lasioglossum calceatum,Rosaceae,Pyrus communis
Halictidae,Lasioglossum leucopus,Rosaceae,Pyrus communis
Halictidae,Lasioglossum malachurum,Rosaceae,Malus domestica
Halictidae,Lasioglossum malachurum,Rosaceae,Pyrus communis
Halictidae,Lasioglossum morio,Rosaceae,Malus domestica
Halictidae,Lasioglossum morio,Rosaceae,Pyrus communis
Halictidae,Lasioglossum sexstrigatum,Rosaceae,Pyrus communis
Halictidae,Lasioglossum spec,Rosaceae,Malus domestica
Hesperiidae,Ochlodes sylvanus,Oleaceae,Ligustrum
Hesperiidae,Ochlodes sylvanus,Rosaceae,Rubus
Lycaenidae,Lycaena phlaeas,Asteraceae,Tanacetum vulgare
Megachilidae,Osmia bicornis,Brassicaceae,Brassica napus
Megachilidae,Osmia bicornis,Ericaceae,Vaccinium corymbosum
Megachilidae,Megachile ericetorum,Fabaceae,Lathyrus tuberosus
Megachilidae,Megachile willughbiella,Fabaceae,Lathyrus tuberosus
Megachilidae,Osmia bicornis,Rosaceae,Malus domestica
Megachilidae,Osmia bicornis,Rosaceae,Pyrus communis
Melittidae,Dasypoda hirtipes,Asteraceae,Cichorium intybus
Noctuidae,Autographa pseudogamma,Fabaceae,Medicago sativa
Noctuidae,Xanthia togata,Salicaceae,Salix
Nymphalidae,Issoria lathonia,Arecaceae,Syagrus romanzoffiana
Nymphalidae,Vanessa atalanta,Asteraceae,Eupatorium cannabinum
Nymphalidae,Coenonympha pamphilus,Fabaceae,Trifolium arvense
Nymphalidae,Polygonia c-album,Lamiaceae,Mentha aquatica
Nymphalidae,Aphantopus hyperantus,Oleaceae,Ligustrum vulgare
Nymphalidae,Vanessa atalanta,Oleaceae,Ligustrum
Nymphalidae,Maniola jurtina,Poaceae,Poaceae
Nymphalidae,Pararge aegeria,Poaceae,Molinia caerulea
Nymphalidae,Polygonia c-album,Rosaceae,Rubus
Nymphalidae,Polygonia c-album,Scrophulariaceae,Buddleja davidii
Nymphalidae,Vanessa atalanta,Scrophulariaceae,Buddleja davidii
Nymphalidae,Vanessa atalanta atalanta,Scrophulariaceae,Buddleja davidii
Nymphalidae,Vanessa cardui,Scrophulariaceae,Buddleja davidii
Nymphalidae,Vanessa cardui,NULL,no name
Pieridae,Anthocharis cardamines,Amaryllidaceae,Allium triquetrum
Pieridae,Pieris rapae,Asteraceae,Taraxacum officinale
Pieridae,Pieris napi,Brassicaceae,Arabidopsis thaliana
Pieridae,Pieris rapae,Brassicaceae,Brassica napus
Pieridae,Pieris napi,Ericaceae,Calluna vulgaris
Pieridae,Colias croceus,Fabaceae,Lathyrus tuberosus
Pieridae,Anthocharis cardamines,Pieridae,Anthocharis cardamines
Pieridae,Pieris mannii,Scrophulariaceae,Buddleja
