sourceTaxonFamilyName,sourceTaxonName
Andrenidae,Andrena
Andrenidae,Andrena carantonica
Andrenidae,Andrena cineraria
Andrenidae,Andrena fucata
Andrenidae,Andrena haemorrhoa
Andrenidae,Andrena lapponica
Andrenidae,Andrena wilkella
Apidae,Apis mellifera
Apidae,Bombus bohemicus
Apidae,Bombus hortorum
Apidae,Bombus jonellus
Apidae,Bombus lapidarius
Apidae,Bombus lucorum
Apidae,Bombus magnus
Apidae,Bombus muscorum
Apidae,Bombus pascuorum
Apidae,Bombus pratorum
Apidae,Bombus ruderarius
Apidae,Bombus rupestris
Apidae,Bombus sp.
Apidae,Bombus sylvarum
Apidae,Bombus terrestris
Apidae,Bombus terrestris audax
Apidae,Nomada
Apidae,Nomada marshamella
Apidae,Nomada ruficornis
Cantharidae,Rhagonycha
Colletidae,Colletes succinctus
Colletidae,Hylaeus communis
Conopidae,Conops quadrifasciatus
Halictidae,Halictidae
Halictidae,Halictus
Halictidae,Halictus rubicundus
Halictidae,Halictus tumulorum
Halictidae,Lasioglossum
Halictidae,Lasioglossum albipes
Halictidae,Lasioglossum calceatum
Halictidae,Lasioglossum nitidiusculum
Halictidae,Lasioglossum villosulum
Halictidae,Sphecodes
Lycaenidae,Lycaena phlaeas
Lycaenidae,Polyommatus icarus
Lycaenidae,Thecla betulae
Megachilidae,Megachile centuncularis
Megachilidae,Megachile versicolor
Megachilidae,Osmia bicornis
Micropterigidae,Micropterix calthella
Miridae,Plagiognathus arbustorum
Muscidae,Coenosia tigrina
Muscidae,Mesembrina
Muscidae,Muscidae
Muscidae,Neomyia cornicina
Nitidulidae,Brachypterus glaber
Nymphalidae,Aglais io
Nymphalidae,Aglais io io
Nymphalidae,Aglais urticae
Nymphalidae,Aphantopus hyperantus
Nymphalidae,Cynthia cardui
Nymphalidae,Maniola jurtina
Nymphalidae,Pararge aegeria
Nymphalidae,Speyeria aglaja
Nymphalidae,Vanessa atalanta
Nymphalidae,Vanessa cardui
Pieridae,Anthocharis cardamines
Pieridae,Pieris brassicae
Pieridae,Pieris napi
Satyridae,Aphantopus hyperantus
Satyridae,Maniola jurtina
Scathophagidae,Scathophaga
Syrphidae,Baccha elongata
Syrphidae,Cheilosia albitarsis
Syrphidae,Cheilosia illustrata
Syrphidae,Cheilosia latifrons
Syrphidae,Cheilosia vernalis
Syrphidae,Chrysotoxum bicincta
Syrphidae,Dasysyrphus albostriatus
Syrphidae,Episyrphus balteatus
Syrphidae,Eristalis
Syrphidae,Eristalis arbustorum
Syrphidae,Eristalis intricaria
Syrphidae,Eristalis nemorum
Syrphidae,Eristalis pertinax
Syrphidae,Eristalis tenax
Syrphidae,Eupeodes corollae
Syrphidae,Eupeodes goeldlini
Syrphidae,Eupeodes latifasciatus
Syrphidae,Eupeodes luniger
Syrphidae,Ferdinandea cuprea
Syrphidae,Helophilus
Syrphidae,Helophilus pendulus
Syrphidae,Helophilus trivittatus
Syrphidae,Melanostoma
Syrphidae,Melanostoma mellinum
Syrphidae,Melanostoma scalare
Syrphidae,Meligramma guttata
Syrphidae,Meliscaeva auricollis
Syrphidae,Myathropa florea
Syrphidae,Neoascia geniculata
Syrphidae,Neoascia podagrica
Syrphidae,Parasyrphus nigritarsis
Syrphidae,Parasyrphus punctulatus
Syrphidae,Pipiza noctiluca
Syrphidae,Platycheirus
Syrphidae,Platycheirus albimanus
Syrphidae,Platycheirus angustatus
Syrphidae,Platycheirus clypeatus
Syrphidae,Platycheirus manicatus
Syrphidae,Platycheirus ramsarensis
Syrphidae,Platycheirus rosarum
Syrphidae,Platycheirus scambus
Syrphidae,Platycheirus scutatus
Syrphidae,Pyrophaena granditarsa
Syrphidae,Rhingia campestris
Syrphidae,Scaeva pyrastri
Syrphidae,Scaeva selenitica
Syrphidae,Sericomyia lappona
Syrphidae,Sericomyia silentis
Syrphidae,Sphaerophoria
Syrphidae,Syritta pipiens
Syrphidae,Syrphidae
Syrphidae,Syrphus
Syrphidae,Syrphus ribesii
Syrphidae,Syrphus vitripennis
Syrphidae,Volucella
Syrphidae,Volucella bombylans
Syrphidae,Volucella pellucens
Tachinidae,Phasia hemiptera
Tachinidae,Tachina grossa
Tipulidae,Tipula
Vespidae,Dolichovespula norwegica
Vespidae,Vespula
Zygaenidae,Zygaena filipendulae
