pollinatorFamily,pollinatorName,plantFamily,plantName
Andrenidae,Andrena,Apiaceae,Pimpinella saxifraga
Andrenidae,Andrena clarkella,Apiaceae,Pimpinella saxifraga
Andrenidae,Andrena semilaevis,Apiaceae,Pimpinella saxifraga
Andrenidae,Andrena angustior,Asteraceae,Leontodon crispus
Andrenidae,Andrena minutula,Asteraceae,Bellis perennis
Andrenidae,Andrena semilaevis,Ranunculaceae,Ranunculus repens
Andrenidae,Andrena minutula,Rosaceae,Potentilla erecta
Andrenidae,Andrena semilaevis,Rosaceae,Potentilla erecta
Andrenidae,Andrena cineraria,NULL,Taraxacum agg.
Apidae,Bombus pascuorum,Apiaceae,Pimpinella saxifraga
Apidae,Bombus bohemicus,Asteraceae,Cirsium palustre
Apidae,Bombus jonellus,Asteraceae,Cirsium palustre
Apidae,Bombus jonellus,Asteraceae,Cirsium vulgare
Apidae,Bombus jonellus,Asteraceae,Leontodon crispus
Apidae,Bombus lapidarius,Asteraceae,Cirsium arvense
Apidae,Bombus lapidarius,Asteraceae,Cirsium palustre
Apidae,Bombus lapidarius,Asteraceae,Cirsium vulgare
Apidae,Bombus lapidarius,Asteraceae,Leontodon crispus
Apidae,Bombus lucorum,Asteraceae,Cirsium arvense
Apidae,Bombus lucorum,Asteraceae,Cirsium palustre
Apidae,Bombus lucorum,Asteraceae,Leontodon crispus
Apidae,Bombus muscorum,Asteraceae,Cirsium arvense
Apidae,Bombus muscorum,Asteraceae,Cirsium palustre
Apidae,Bombus muscorum,Asteraceae,Cirsium vulgare
Apidae,Bombus pascuorum,Asteraceae,Carlina vulgaris
Apidae,Bombus pascuorum,Asteraceae,Centaurea kerneriana subsp. kerneriana
Apidae,Bombus pascuorum,Asteraceae,Cirsium arvense
Apidae,Bombus pascuorum,Asteraceae,Cirsium palustre
Apidae,Bombus pascuorum,Asteraceae,Cirsium vulgare
Apidae,Bombus pascuorum,Asteraceae,Jacobaea vulgaris subsp. vulgaris
Apidae,Bombus pascuorum,Asteraceae,Leontodon crispus
Apidae,Bombus pascuorum,Asteraceae,Pilosella officinarum
Apidae,Bombus pratorum,Asteraceae,Carlina vulgaris
Apidae,Bombus pratorum,Asteraceae,Centaurea kerneriana subsp. kerneriana
Apidae,Bombus pratorum,Asteraceae,Cirsium arvense
Apidae,Bombus pratorum,Asteraceae,Cirsium palustre
