pollinatorFamily,pollinatorName,plantFamily,plantName
Andrenidae,Andrena bicolor,Apiaceae,Pimpinella saxifraga
Andrenidae,Andrena semilaevis,Apiaceae,Pimpinella saxifraga
Andrenidae,Andrena angustior,Asteraceae,Leontodon saxatilis
Andrenidae,Andrena minutula,Asteraceae,Bellis perennis
Andrenidae,Andrena semilaevis,Ranunculaceae,Ranunculus repens
Andrenidae,Andrena minutula,Rosaceae,Potentilla recta subsp. recta
Andrenidae,Andrena semilaevis,Rosaceae,Potentilla recta subsp. recta
Andrenidae,Andrena cineraria,NULL,Taraxacum agg.
Apidae,Bombus pascuorum,Apiaceae,Pimpinella saxifraga
Apidae,Bombus bohemicus,Asteraceae,Cirsium palustre
Apidae,Bombus hortorum,Asteraceae,Cirsium palustre
Apidae,Bombus hortorum,Asteraceae,Cirsium vulgare
Apidae,Bombus hortorum,Asteraceae,Leontodon saxatilis
Apidae,Bombus jonellus,Asteraceae,Cirsium palustre
Apidae,Bombus jonellus,Asteraceae,Leontodon saxatilis
Apidae,Bombus lapidarius,Asteraceae,Cirsium arvense
Apidae,Bombus lapidarius,Asteraceae,Cirsium palustre
Apidae,Bombus lapidarius,Asteraceae,Cirsium vulgare
Apidae,Bombus lapidarius,Asteraceae,Leontodon saxatilis
Apidae,Bombus lucorum,Asteraceae,Cirsium arvense
Apidae,Bombus lucorum,Asteraceae,Cirsium palustre
Apidae,Bombus lucorum,Asteraceae,Leontodon saxatilis
Apidae,Bombus muscorum,Asteraceae,Cirsium arvense
Apidae,Bombus muscorum,Asteraceae,Cirsium palustre
Apidae,Bombus muscorum,Asteraceae,Cirsium vulgare
Apidae,Bombus pascuorum,Asteraceae,Carlina vulgaris
Apidae,Bombus pascuorum,Asteraceae,Centaurea nigra
Apidae,Bombus pascuorum,Asteraceae,Cirsium arvense
Apidae,Bombus pascuorum,Asteraceae,Cirsium palustre
Apidae,Bombus pascuorum,Asteraceae,Cirsium vulgare
Apidae,Bombus pascuorum,Asteraceae,Jacobaea vulgaris
Apidae,Bombus pascuorum,Asteraceae,Leontodon saxatilis
Apidae,Bombus pascuorum,Asteraceae,Pilosella officinarum
Apidae,Bombus pratorum,Asteraceae,Carlina vulgaris
Apidae,Bombus pratorum,Asteraceae,Centaurea nigra
Apidae,Bombus pratorum,Asteraceae,Cirsium arvense
Apidae,Bombus pratorum,Asteraceae,Cirsium palustre
Apidae,Bombus sylvarum,Asteraceae,Centaurea nigra
Apidae,Nomada ruficornis,Asteraceae,Bellis perennis
Apidae,Bombus lucorum,Caprifoliaceae,Knautia arvensis
Apidae,Bombus pascuorum,Caprifoliaceae,Succisa pratensis
Apidae,Bombus lucorum,Ericaceae,Calluna vulgaris
Apidae,Apis mellifera,Fabaceae,Trifolium repens
Apidae,Bombus hortorum,Fabaceae,Trifolium pratense
Apidae,Bombus hortorum,Fabaceae,Trifolium repens
