sourceTaxonFamilyName,sourceTaxonName
Andrenidae,Andrena angustior
Andrenidae,Andrena bicolor
Andrenidae,Andrena cineraria
Andrenidae,Andrena minutula
Andrenidae,Andrena semilaevis
Apidae,Apis mellifera
Apidae,Bombus bohemicus
Apidae,Bombus hortorum
Apidae,Bombus jonellus
Apidae,Bombus lapidarius
Apidae,Bombus lucorum
Apidae,Bombus muscorum
Apidae,Bombus pascuorum
Apidae,Bombus pratorum
Apidae,Bombus sylvarum
Apidae,Bombus sylvestris
Apidae,Nomada ruficornis
Halictidae,Halictus rubicundus
Halictidae,Halictus tumulorum
Halictidae,Lasioglossum albipes
Halictidae,Lasioglossum calceatum
Halictidae,Lasioglossum fratellus
Halictidae,Lasioglossum leucopus
Halictidae,Sphecodes monilicornis
Lycaenidae,Cupido minimus
Lycaenidae,Lycaena phlaeas
Lycaenidae,Polyommatus apicatacuneata
Nymphalidae,Coenonympha pamphilus
Nymphalidae,Maniola jurtina
Nymphalidae,Nymphalis polychloros
Pieridae,Leptidea sinapis
Pieridae,Pieris napi
Syrphidae,Cheilosia
Syrphidae,Cheilosia illustrata
Syrphidae,Cheilosia vernalis
Syrphidae,Episyrphus balteatus
Syrphidae,Eristalis arbustorum
Syrphidae,Eristalis intricaria
Syrphidae,Eristalis tenax
Syrphidae,Eupeodes
Syrphidae,Eupeodes latifasciatus
Syrphidae,Eupeodes luniger
Syrphidae,Helophilus hybridus
Syrphidae,Helophilus pendulus
Syrphidae,Lejogaster metallina
Syrphidae,Lejops lineatus
Syrphidae,Melanostoma mellina
Syrphidae,Melanostoma scalare
Syrphidae,Neoascia podagrica
Syrphidae,Palpada interrupta
Syrphidae,Philhelius citrofasciata
Syrphidae,Platycheirus albimanus
Syrphidae,Platycheirus angustatus
Syrphidae,Platycheirus clypeatus
Syrphidae,Platycheirus manicatus
Syrphidae,Platycheirus scutatus
Syrphidae,Platycheirus sticticus
Syrphidae,Pyrophaena granditarsa
Syrphidae,Pyrophaena rosarum
Syrphidae,Rhingia campestris
Syrphidae,Sphaerophoria
Syrphidae,Sphaerophoria interrupta
Syrphidae,Sphaerophoria scripta
Syrphidae,Syritta pipiens
Syrphidae,Syrphus ribesii
Syrphidae,Syrphus vitripennis
Syrphidae,Volucella bombylans
Zygaenidae,Zygaena filipendulae
